actor_name
"ZELLWEGER, MINNIE"
"ZELLWEGER, JULIA"
"ZELLWEGER, CAMERON"
"WRAY, CAMERON"
"WOOD, UMA"
"WOOD, FAY"
"WITHERSPOON, ANGELA"
"WINSLET, RIP"
"WINSLET, FAY"
"WILSON, WILL"
"WILLIS, HUMPHREY"
"WILLIS, GENE"
"WILLIS, BEN"
"WILLIAMS, SEAN"
"WILLIAMS, MORGAN"
"WILLIAMS, GROUCHO"
"WEST, REESE"
"WEST, CHRISTOPHER"
"WAYNE, ALEC"
"WALKEN, BELA"
"WAHLBERG, NICK"
"WAHLBERG, DARYL"
"VOIGHT, HELEN"
"TRACY, RENEE"
"TRACY, LUCILLE"
"TORN, WALTER"
"TORN, KENNETH"
"TORN, DAN"
"TOMEI, FRANCES"
"TEMPLE, THORA"
"TEMPLE, RUSSELL"
"TEMPLE, MENA"
"TEMPLE, BURT"
"TAUTOU, DUSTIN"
"TANDY, MARY"
"TANDY, IAN"
"SWANK, JOE"
"SUVARI, JOHN"
"STREEP, DAN"
"STREEP, CAMERON"
"STALLONE, NICK"
"SOBIESKI, SISSY"
"SINATRA, GROUCHO"
"SILVERSTONE, JEFF"
"SILVERSTONE, JAYNE"
"RYDER, JADA"
"REYNOLDS, RITA"
"PRESLEY, ELLEN"
"POSEY, BURT"
"PITT, JAMES"
"PINKETT, PENELOPE"
"PHOENIX, GARY"
"PFEIFFER, OLYMPIA"
"PESCI, KENNETH"
"PENN, RICHARD"
"PENN, GARY"
"PECK, SPENCER"
"PECK, SANDRA"
"PECK, MILLA"
"PALTROW, KIRSTEN"
"PALTROW, KENNETH"
"OLIVIER, CUBA"
"OLIVIER, AUDREY"
"NOLTE, WARREN"
"NOLTE, SALMA"
"NOLTE, JAYNE"
"NOLTE, ALBERT"
"NICHOLSON, BETTE"
"NEESON, JAYNE"
"NEESON, CHRISTIAN"
"MOSTEL, JIM"
"MOSTEL, GRACE"
"MONROE, PENELOPE"
"MONROE, LISA"
"MIRANDA, TOM"
"MCQUEEN, JULIA"
"MCQUEEN, CATE"
"MCKELLEN, TOM"
"MCKELLEN, GENE"
"MCDORMAND, MORGAN"
"MCCONAUGHEY, MICHELLE"
"MCCONAUGHEY, CARY"
"MARX, ELVIS"
"MANSFIELD, ED"
"MALDEN, GRETA"
"LOLLOBRIGIDA, JOHNNY"
"LEIGH, MATTHEW"
"KILMER, SANDRA"
"KILMER, REESE"
"KILMER, OPRAH"
"KILMER, MINNIE"
"KILMER, FAY"
"KEITEL, MILLA"
"KEITEL, MARY"
"KEITEL, GRETA"
"JOVOVICH, KIRK"
"JOLIE, WOODY"
"JOHANSSON, RAY"
"JOHANSSON, MATTHEW"
"JOHANSSON, ALBERT"
"JACKMAN, WARREN"
"JACKMAN, JANE"
"HURT, WHOOPI"
"HUNT, CARMEN"
"HUDSON, ANGELA"
"HOPPER, MENA"
"HOPPER, ADAM"
"HOPKINS, NATALIE"
"HOPKINS, MORGAN"
"HOPKINS, GENE"
"HOPE, HARVEY"
"HOFFMAN, WOODY"
"HOFFMAN, MAE"
"HOFFMAN, KENNETH"
"HESTON, GEOFFREY"
"HAWKE, MEG"
"HARRIS, DAN"
"HARRIS, CATE"
"HARRIS, BEN"
"HACKMAN, WILLIAM"
"HACKMAN, TIM"
"GUINESS, SEAN"
"GUINESS, PENELOPE"
"GUINESS, ED"
"GRANT, ADAM"
"GOODING, GREGORY"
"GOODING, EWAN"
"GOLDBERG, PARKER"
"GIBSON, MERYL"
"GARLAND, KEVIN"
"GARLAND, HUMPHREY"
"GARLAND, AL"
"GABLE, CHRISTIAN"
"FAWCETT, JULIA"
"FAWCETT, BOB"
"DUNST, GROUCHO"
"DUKAKIS, ROCK"
"DUKAKIS, BURT"
"DREYFUSS, ALAN"
"DERN, SYLVESTER"
"DEPP, SPENCER"
"DEPP, CHRIS"
"DENCH, JULIANNE"
"DENCH, CHARLIZE"
"DEGENERES, NICK"
"DEGENERES, JODIE"
"DEGENERES, GINA"
"DEE, LUCILLE"
"DEE, EMILY"
"DEAN, RIVER"
"DEAN, JUDY"
"DAY-LEWIS, FRANCES"
"DAVIS, SUSAN"
"DAVIS, SUSAN"
"DAVIS, JENNIFER"
"DAMON, SCARLETT"
"CRUZ, RALPH"
"CRUISE, JUDE"
"CROWE, SIDNEY"
"CRONYN, PENELOPE"
"CRONYN, ANNE"
"CRAWFORD, RIP"
"CRAWFORD, DARYL"
"COSTNER, FRED"
"CLOSE, RUSSELL"
"CHASE, JON"
"CHASE, ED"
"CHAPLIN, GREG"
"CARREY, MATTHEW"
"CAGE, ZERO"
"CAGE, JOHNNY"
"BULLOCK, LAURENCE"
"BRODY, LAURA"
"BRODY, GOLDIE"
"BRIDGES, CHRIS"
"BOLGER, VAL"
"BOLGER, MICHAEL"
"BLOOM, KEVIN"
"BIRCH, CUBA"
"BERRY, KARL"
"BERRY, HENRY"
"BERRY, CHRISTOPHER"
"BERGMAN, LIZA"
"BERGEN, VIVIEN"
"BENING, SCARLETT"
"BENING, MICHAEL"
"BASINGER, VIVIEN"
"BARRYMORE, JULIA"
"BALL, RENEE"
"BALE, HARRISON"
"BAILEY, JESSICA"
"BAILEY, AUDREY"
"BACALL, RUSSELL"
"ASTAIRE, ANGELINA"
"ALLEN, MERYL"
"ALLEN, KIM"
"ALLEN, CUBA"
"AKROYD, KIRSTEN"
"AKROYD, DEBBIE"
"AKROYD, CHRISTIAN"
